| 0x0 |      | > |
| 0x1 |      | f |
| 0x2 |      | , |
| 0x3 |      | 0 |
| 0x4 |      | P |
| 0x5 |      | F |
| 0x6 |      | m |
| 0x7 |      | t |
| 0x8 |      | , |
| 0x9 |      | 5 |
| 0x10 |      | R |
| 0x11 |      | + |
| 0x12 |      | ) |
| 0x13 |      | i |
| 0x14 |      | . |
| 0x15 |      | F |
| 0x16 |      | , |
| 0x17 |      | f |
| 0x18 |      | a |
| 0x19 |      | ( |
| 0x20 |      | / |
| 0x21 |      | = |
| 0x22 |      | 3 |
| 0x23 |      | : |
| 0x24 |      | % |
| 0x25 |      | | |
| 0x26 |      | O |
| 0x27 |      | a |
| 0x28 |      | R |
| 0x29 |      | C |
| 0x30 |      | H |
| 0x31 |      | q |
| 0x32 |      | ' |
| 0x33 |      | Q |
| 0x34 |      | ~ |
| 0x35 |      | W |
| 0x36 |      | t |
| 0x37 |      | i |
| 0x38 |      | J |
| 0x39 |      | ! |
| 0x40 |      | ~ |
| 0x41 |      | y |
| 0x42 |      | ) |
| 0x43 |      | ) |
| 0x44 |      | c |
| 0x45 |      | 8 |
| 0x46 |      | L |
| 0x47 |      | m |
| 0x48 |      | ~ |
| 0x49 |      | . |
| 0x50 |      | r |
| 0x51 |      | + |
| 0x52 |      | H |
| 0x53 |      | & |
| 0x54 |      | E |
| 0x55 |      | M |
| 0x56 |      |   |
| 0x57 |      | r |
| 0x58 |      | / |
| 0x59 |      | S |
| 0x60 |      | 6 |
| 0x61 |      | T |
| 0x62 |      | B |
| 0x63 |      | > |
| 0x64 |      | $ |
| 0x65 |      | > |
| 0x66 |      | r |
| 0x67 |      | x |
| 0x68 |      | ( |
| 0x69 |      | = |
| 0x70 |      | z |
| 0x71 |      | % |
| 0x72 |      | 8 |
| 0x73 |      | ! |
| 0x74 |      | + |
| 0x75 |      | x |
| 0x76 |      | 9 |
| 0x77 |      | W |
| 0x78 |      | f |
| 0x79 |      | 5 |
| 0x80 |      | e |
| 0x81 |      | Y |
| 0x82 |      | A |
| 0x83 |      | / |
| 0x84 |      | ] |
| 0x85 |      | f |
| 0x86 |      | Y |
| 0x87 |      | ] |
| 0x88 |      | Y |
